[06Jun2025 00:17:07.885] [Render thread/INFO] [journeymap/]: World ID has been reset.
[06Jun2025 00:17:07.952] [Render thread/INFO] [journeymap/]: World UID is set to: null
[06Jun2025 00:17:08.894] [Render thread/INFO] [com.dairymoose.modernlife.core.ModernLifeClient/]: Client logout
[06Jun2025 00:17:08.904] [Render thread/INFO] [net.minecraft.client.gui.screen.ConnectingScreen/]: Connecting to mocsmods.falixsrv.me., 33105
[06Jun2025 00:17:14.771] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: cfm:freezer_solidify/minecraft:packed_ice_from_freezing
[06Jun2025 00:17:14.780] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/experience
[06Jun2025 00:17:14.780] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/electrum
[06Jun2025 00:17:14.780] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:augment/speed_i
[06Jun2025 00:17:14.780] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:augment/speed_ii
[06Jun2025 00:17:14.780] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:soul_extraction/mysticalagriculture:souls/mutton
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:seed/infusion/skeleton
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/saltpeter
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:seed/infusion/zombie
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:augment/strength_ii
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:seed/infusion/tin
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/tungsten
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:seed/infusion/silver
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/spider
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/bronze
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:soul_extraction/mysticalagriculture:souls/blaze_rod
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/cow
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/coral
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/iron
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/chicken
[06Jun2025 00:17:14.781] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/nether
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:augment/absorption_iii
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:soul_extraction/mysticalagriculture:souls/porkchop
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/blaze
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:soul_extraction/mysticalagriculture:souls/wool
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:soul_extraction/mysticalagriculture:souls/slime_ball
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:soul_extraction/mysticalagriculture:souls/string
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/coal
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:seed/infusion/slime
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:seed/infusion/stone
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:reprocessor/mysticalagriculture:seed/reprocessor/manasteel
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:augment/pathing_aoe_iv
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:augment/absorption_ii
[06Jun2025 00:17:14.782] [Render thread/WARN] [net.minecraft.client.util.ClientRecipeBook/]: Unknown recipe category: mysticalagriculture:infusion/mysticalagriculture:augment/jump_boost_iii
